ig_name,total_vedios,total_likes,avg_like,max_like,min_like,total_comments,avg_coments,max_comments,min_comments,total_tags,avg_tags,max_tags,_min_tags,total_views,avg_views,max_views,min_views,total_duration,max_duration,avg_duration,min_duration
blairechen,44,586297.0,13324.931818181818,77414.0,7.0,5591,127.06818181818181,1433,0,41,0.9318181818181818,5,0,33360958.0,758203.5909090909,2342774.0,1901.0,1963.81,131.08,44.632045454545455,3.9
bobo_kira,90,99966.0,1110.7333333333333,18185.0,5.0,720,8.0,57,0,112,1.2444444444444445,5,0,5030356.0,55892.84444444445,432560.0,491.0,4833.3,153.81,53.70333333333333,9.0
bonibaobao,120,2142789.0,17856.575,206185.0,91.0,8140,67.83333333333333,641,0,26,0.21666666666666667,6,0,65727216.0,547726.8,3587337.0,8664.0,4861.95,137.5,40.51625,4.34
boyplaymj,97,342106.0,3526.865979381443,19248.0,292.0,3413,35.18556701030928,700,0,332,3.422680412371134,14,0,18910448.0,194953.07216494845,890634.0,66947.0,8417.15,179.79,86.77474226804124,11.35
bugcat_capoo,63,10226269.0,162321.73015873015,2465524.0,11045.0,15046,238.82539682539684,1854,55,8,0.12698412698412698,2,0,117806718.0,1869947.9047619049,20360307.0,324722.0,2050.67,89.57,32.55031746031746,11.92
byleway,29,77125.0,3085.0,14212.0,978.0,1918,66.13793103448276,281,5,17,0.5862068965517241,5,0,8325232.0,287076.9655172414,453444.0,92137.0,33014.78,4334.8,1138.4406896551723,6.01
campfire_tw,151,93417.0,618.6556291390729,20126.0,23.0,1285,8.509933774834437,168,0,16,0.10596026490066225,2,0,4317347.0,28591.701986754968,593514.0,5587.0,9925.220000000001,173.64,65.72993377483445,7.67
cb.otaku,68,1269689.0,18671.897058823528,263150.0,318.0,2160,31.764705882352942,302,0,2,0.029411764705882353,1,0,25987560.0,382170.0,3081229.0,46334.0,4689.619999999999,161.57,68.96499999999999,26.37
children0704,24,306012.0,12750.5,118144.0,540.0,3389,141.20833333333334,678,4,31,1.2916666666666667,8,0,7525358.0,313556.5833333333,2030070.0,47319.0,6834.1900000000005,4116.97,284.7579166666667,37.27
chuchumei__,40,560893.0,14022.325,110890.0,813.0,2694,67.35,569,2,5,0.125,1,0,13718335.0,342958.375,1617875.0,73928.0,1456.19,89.91,36.40475,4.2
ciao_kitchen,18,84417.0,4689.833333333333,14079.0,1180.0,2757,153.16666666666666,1577,4,0,0.0,0,0,3023152.0,167952.88888888888,460176.0,54604.0,992.62,101.75,55.14555555555555,22.41
